characteristics_id,category,subcategory,subsubcategory,pearson_r,pearson_p,spearman_rho,spearman_p,n,significant,full_name,short_name
14,Total - Age groups of the population - 100% data,15 to 64 years,15 to 19 years,0.2261,2.4e-05,0.2882,0.0,342,True,Total - Age groups of the population - 100% data → 15 to 64 years → 15 to 19 years,15 to 19 years
140,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),0.3329,0.0,0.3416,0.0,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data → Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)
1402,Total - Indigenous identity for the population in private households - 25% sample data,,,,,,,342,False,Total - Indigenous identity for the population in private households - 25% sample data,Total - Indigenous identity for the population in private households - 25% sample data
1403,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,,0.003,0.956231,-0.1055,0.051148,342,False,Total - Indigenous identity for the population in private households - 25% sample data → Indigenous identity,Indigenous identity
1404,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Single Indigenous responses,0.0027,0.960755,-0.1041,0.054452,342,False,Total - Indigenous identity for the population in private households - 25% sample data → Indigenous identity → Single Indigenous responses,Single Indigenous responses
1408,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Multiple Indigenous responses,0.1119,0.03856,0.0469,0.38734,342,True,Total - Indigenous identity for the population in private households - 25% sample data → Indigenous identity → Multiple Indigenous responses,Multiple Indigenous responses
1409,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Indigenous responses not included elsewhere,-0.0797,0.141242,-0.2262,2.4e-05,342,False,Total - Indigenous identity for the population in private households - 25% sample data → Indigenous identity → Indigenous responses not included elsewhere,Indigenous responses not included elsewhere
141,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,,,,,,,342,False,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data
1410,Total - Indigenous identity for the population in private households - 25% sample data,Non-Indigenous identity,,-0.0029,0.956767,0.1057,0.050778,342,False,Total - Indigenous identity for the population in private households - 25% sample data → Non-Indigenous identity,Non-Indigenous identity
1411,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,,,,,,,342,False,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,Total - Registered or Treaty Indian status for the population in private households - 25% sample data
1412,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,Registered or Treaty Indian,,-0.0242,0.656287,-0.0893,0.099235,342,False,Total - Registered or Treaty Indian status for the population in private households - 25% sample data → Registered or Treaty Indian,Registered or Treaty Indian
1413,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,Not a Registered or Treaty Indian,,0.0243,0.654216,0.0906,0.094453,342,False,Total - Registered or Treaty Indian status for the population in private households - 25% sample data → Not a Registered or Treaty Indian,Not a Registered or Treaty Indian
1414,Total - Private households by tenure - 25% sample data,,,,,,,342,False,Total - Private households by tenure - 25% sample data,Total - Private households by tenure - 25% sample data
1415,Total - Private households by tenure - 25% sample data,Owner,,0.0773,0.153959,0.068,0.209673,342,False,Total - Private households by tenure - 25% sample data → Owner,Owner
1416,Total - Private households by tenure - 25% sample data,Renter,,-0.0579,0.285655,-0.0581,0.283848,342,False,Total - Private households by tenure - 25% sample data → Renter,Renter
1417,Total - Private households by tenure - 25% sample data,"Dwelling provided by the local government, First Nation or Indian band",,-0.0849,0.117071,0.0013,0.980421,342,False,"Total - Private households by tenure - 25% sample data → Dwelling provided by the local government, First Nation or Indian band","Dwelling provided by the local government, First Nation or Indian band"
1418,Total - Occupied private dwellings by condominium status - 25% sample data,,,,,,,342,False,Total - Occupied private dwellings by condominium status - 25% sample data,Total - Occupied private dwellings by condominium status - 25% sample data
1419,Total - Occupied private dwellings by condominium status - 25% sample data,Condominium,,0.0602,0.266753,0.0569,0.2942,342,False,Total - Occupied private dwellings by condominium status - 25% sample data → Condominium,Condominium
142,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,,-0.1128,0.037132,-0.1036,0.055579,342,True,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data
1420,Total - Occupied private dwellings by condominium status - 25% sample data,Not condominium,,-0.0602,0.267059,-0.0566,0.29676,342,False,Total - Occupied private dwellings by condominium status - 25% sample data → Not condominium,Not condominium
1421,Total - Occupied private dwellings by number of bedrooms - 25% sample data,,,,,,,342,False,Total - Occupied private dwellings by number of bedrooms - 25% sample data,Total - Occupied private dwellings by number of bedrooms - 25% sample data
1422,Total - Occupied private dwellings by number of bedrooms - 25% sample data,No bedrooms,,0.0108,0.842795,0.0798,0.140869,342,False,Total - Occupied private dwellings by number of bedrooms - 25% sample data → No bedrooms,No bedrooms
1423,Total - Occupied private dwellings by number of bedrooms - 25% sample data,1 bedroom,,-0.0532,0.326764,-0.0733,0.176419,342,False,Total - Occupied private dwellings by number of bedrooms - 25% sample data → 1 bedroom,1 bedroom
1424,Total - Occupied private dwellings by number of bedrooms - 25% sample data,2 bedrooms,,-0.2274,2.2e-05,-0.2339,1.2e-05,342,True,Total - Occupied private dwellings by number of bedrooms - 25% sample data → 2 bedrooms,2 bedrooms
1425,Total - Occupied private dwellings by number of bedrooms - 25% sample data,3 bedrooms,,-0.0053,0.921776,-0.0009,0.98715,342,False,Total - Occupied private dwellings by number of bedrooms - 25% sample data → 3 bedrooms,3 bedrooms
1426,Total - Occupied private dwellings by number of bedrooms - 25% sample data,4 or more bedrooms,,0.1975,0.000238,0.1551,0.004036,342,True,Total - Occupied private dwellings by number of bedrooms - 25% sample data → 4 or more bedrooms,4 or more bedrooms
1427,Total - Occupied private dwellings by number of rooms - 25% sample data,,,,,,,342,False,Total - Occupied private dwellings by number of rooms - 25% sample data,Total - Occupied private dwellings by number of rooms - 25% sample data
1428,Total - Occupied private dwellings by number of rooms - 25% sample data,1 to 4 rooms,,0.0139,0.798012,-0.0146,0.788108,342,False,Total - Occupied private dwellings by number of rooms - 25% sample data → 1 to 4 rooms,1 to 4 rooms
1429,Total - Occupied private dwellings by number of rooms - 25% sample data,5 rooms,,0.037,0.495633,0.0474,0.382493,342,False,Total - Occupied private dwellings by number of rooms - 25% sample data → 5 rooms,5 rooms
143,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,Median employment income in 2020 for full-year full-time workers in 2020 ($),-0.0572,0.291432,-0.0444,0.412969,342,False,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data → Median employment income in 2020 for full-year full-time workers in 2020 ($),Median employment income in 2020 for full-year full-time workers in 2020 ($)
1430,Total - Occupied private dwellings by number of rooms - 25% sample data,6 rooms,,0.0937,0.083659,0.12,0.026429,342,False,Total - Occupied private dwellings by number of rooms - 25% sample data → 6 rooms,6 rooms
1431,Total - Occupied private dwellings by number of rooms - 25% sample data,7 rooms,,-0.0014,0.978887,0.03,0.579887,342,False,Total - Occupied private dwellings by number of rooms - 25% sample data → 7 rooms,7 rooms
1432,Total - Occupied private dwellings by number of rooms - 25% sample data,8 or more rooms,,-0.0631,0.244423,-0.0519,0.338671,342,False,Total - Occupied private dwellings by number of rooms - 25% sample data → 8 or more rooms,8 or more rooms
1433,Average number of rooms per dwelling,,,-0.0499,0.357493,-0.0306,0.572371,342,False,Average number of rooms per dwelling,Average number of rooms per dwelling
